TICKER,CNAME,PERMNO,IssuerNm,SCORE
CPOW,INGREDION,85645,INGREDION INC,0
CPP,CALPROP CORP,64880,CALPROP CORP,0
CPP2,CORNERSTONE PROP,84658,CORNERSTONE PROPERTIES INC,0
CPPL,CPPL,15192,COLUMBIA PIPELINE PARTNERS LP,1
CPR,CORNERSTONE PROP,84363,CORNERSTONE PROPANE PARTNERS LP,0
CPRD,ARTESYN TECH,26009,ARTESYN TECHNOLOGIES INC,0
CPRK,CASTLE ENTMT INC,21769,CASTLE ENTERTAINMENT INC,0
CPRO,CELLPRO INC,76848,CELLPRO INC,0
CPRT,COPART,80320,COPART INC,0
CPRX,CATALYST PHARMS,91606,CATALYST PHARMACEUTICAL PTNRS IN,0
